iter	Passed	Remaining
0	101	101589
1	103	51438
2	104	34800
3	106	26490
4	107	21452
5	109	18086
6	110	15664
7	111	13858
8	113	12518
9	115	11385
10	116	10437
11	117	9649
12	119	9038
13	120	8490
14	122	8015
15	123	7603
16	124	7218
17	125	6872
18	127	6585
19	129	6323
20	130	6069
21	131	5842
22	133	5659
23	135	5514
24	136	5338
25	138	5175
26	139	5024
27	140	4887
28	142	4760
29	143	4637
30	144	4518
31	145	4403
32	146	4299
33	148	4212
34	149	4131
35	151	4050
36	152	3968
37	153	3894
38	155	3822
39	156	3756
40	157	3692
41	159	3627
42	160	3566
43	161	3506
44	163	3464
45	164	3416
46	166	3367
47	167	3319
48	168	3271
49	169	3227
50	171	3187
51	172	3144
52	173	3101
53	174	3059
54	175	3023
55	179	3030
56	181	2995
57	182	2959
58	183	2928
59	185	2900
60	186	2871
61	187	2843
62	189	2817
63	190	2792
64	194	2795
65	195	2772
66	197	2746
67	198	2721
68	199	2697
69	201	2677
70	203	2660
71	205	2642
72	206	2627
73	209	2626
74	211	2608
75	213	2590
76	214	2574
77	216	2557
78	217	2539
79	219	2522
80	220	2506
81	222	2494
82	224	2481
83	226	2467
84	228	2455
85	230	2448
86	231	2434
87	233	2421
88	235	2406
89	236	2392
90	238	2378
91	239	2366
92	241	2352
93	242	2338
94	244	2324
95	245	2312
96	247	2303
97	248	2290
98	250	2279
99	252	2272
100	254	2261
101	256	2259
102	259	2264
103	262	2257
104	263	2247
105	265	2235
106	267	2233
107	270	2232
108	272	2230
109	274	2219
110	275	2207
111	277	2196
112	278	2184
113	279	2173
114	281	2162
115	285	2172
116	286	2160
117	287	2151
118	290	2149
119	291	2140
120	293	2132
121	294	2120
122	296	2111
123	297	2104
124	299	2096
125	300	2087
126	302	2077
127	303	2068
128	305	2060
129	306	2051
130	308	2043
131	309	2035
132	310	2027
133	312	2021
134	314	2013
135	316	2007
136	317	2000
137	319	1993
138	320	1986
139	322	1978
140	323	1972
141	324	1963
142	326	1959
143	328	1953
144	330	1946
145	331	1940
146	333	1933
147	334	1927
148	336	1922
149	338	1915
150	339	1909
151	341	1906
152	343	1902
153	345	1895
154	347	1896
155	350	1898
156	352	1892
157	354	1886
158	356	1883
159	357	1879
160	359	1871
161	360	1865
162	362	1859
163	363	1853
164	365	1847
165	366	1841
166	368	1837
167	370	1832
168	375	1847
169	377	1841
170	378	1835
171	380	1831
172	382	1828
173	384	1822
174	387	1824
175	388	1820
176	390	1816
177	392	1810
178	393	1805
179	395	1799
180	396	1794
181	398	1791
182	400	1786
183	402	1785
184	404	1779
185	405	1775
186	407	1773
187	409	1770
188	411	1766
189	413	1761
190	414	1755
191	416	1752
192	418	1748
193	419	1742
194	421	1738
195	422	1733
196	425	1735
197	427	1730
198	428	1726
199	430	1723
200	432	1719
201	434	1715
202	435	1710
203	437	1706
204	438	1702
205	440	1697
206	441	1692
207	443	1687
208	481	1823
209	484	1824
210	487	1821
211	488	1816
212	490	1813
213	492	1809
214	495	1809
215	497	1807
216	499	1802
217	501	1798
218	503	1796
219	505	1791
220	513	1810
221	517	1814
222	519	1810
223	521	1806
224	526	1812
225	530	1818
226	532	1814
227	534	1809
228	536	1805
229	538	1801
230	539	1796
231	541	1793
232	543	1788
233	544	1782
234	545	1776
235	547	1771
236	548	1765
237	549	1760
238	551	1755
239	552	1749
240	554	1745
241	556	1744
242	558	1740
243	560	1735
244	561	1729
245	562	1725
246	564	1720
247	565	1715
248	567	1711
249	568	1706
250	572	1707
251	585	1736
252	591	1746
253	593	1741
254	594	1737
255	595	1731
256	597	1727
257	598	1722
258	600	1717
259	601	1713
260	604	1710
261	605	1706
262	607	1701
263	608	1696
264	609	1691
265	611	1686
266	612	1681
267	613	1676
268	615	1672
269	617	1669
270	619	1665
271	620	1660
272	621	1655
273	622	1650
274	624	1645
275	625	1640
276	626	1635
277	627	1630
278	629	1626
279	631	1623
280	632	1619
281	634	1614
282	635	1609
283	636	1604
284	637	1600
285	639	1595
286	640	1591
287	642	1587
288	643	1583
289	645	1580
290	647	1577
291	648	1572
292	649	1568
293	651	1563
294	652	1559
295	653	1554
296	654	1550
297	656	1545
298	657	1541
299	659	1538
300	660	1534
301	662	1530
302	663	1526
303	664	1522
304	666	1517
305	667	1513
306	668	1509
307	669	1504
308	670	1500
309	672	1495
310	673	1492
311	675	1489
312	676	1485
313	677	1480
314	679	1476
315	680	1472
316	681	1468
317	682	1464
318	684	1460
319	685	1456
320	686	1452
321	688	1449
322	690	1447
323	691	1443
324	693	1439
325	694	1435
326	695	1431
327	696	1427
328	697	1423
329	699	1419
330	700	1416
331	701	1412
332	703	1409
333	706	1408
334	707	1404
335	709	1401
336	710	1397
337	711	1393
338	712	1390
339	713	1385
340	715	1381
341	716	1378
342	717	1375
343	719	1372
344	720	1368
345	721	1364
346	722	1360
347	724	1356
348	725	1353
349	726	1349
